1,0.0,9.7
2,-0.0,9.7
3,2.348,9.7
4,5.455,9.7
5,7.0,9.7
6,8.261,9.7
7,8.0,9.7
8,7.864,9.7
9,7.0,9.7
10,7.478,9.7
11,7.957,9.7
12,7.435,9.7
13,7.174,9.7
14,7.174,9.7
15,7.913,9.7
16,8.261,9.7
17,7.783,9.7
18,7.409,9.7
19,7.455,9.7
20,7.87,9.7
21,8.13,9.7
22,7.522,9.7
23,6.957,9.7
24,7.435,9.7
25,8.13,9.7
26,7.957,9.7
27,7.636,9.7
28,6.87,9.7
29,7.348,9.7
30,8.087,9.7
31,7.696,9.7
32,7.174,9.7
33,7.043,9.7
34,8.0,9.7
35,8.304,9.7
36,8.043,9.7
37,7.565,9.7
38,7.217,9.7
39,7.565,9.7
40,8.043,9.7
41,7.435,9.7
42,6.909,9.7
43,6.739,9.7
44,8.136,9.7
45,8.682,9.7
46,8.227,9.7
47,7.261,9.7
48,7.217,9.7
49,7.783,9.7
50,7.957,9.7
51,7.478,9.7
52,7.409,9.7
53,7.955,9.7
54,8.261,9.7
55,8.13,9.7
56,7.565,9.7
57,7.182,9.7
58,7.087,9.7
59,8.227,9.7
60,7.783,9.7
61,7.5,9.7
62,7.409,9.7
63,7.478,9.7
64,8.304,9.7
65,8.227,9.7
66,7.682,9.7
67,6.913,9.7
68,7.955,9.7
69,8.13,9.7
70,7.909,9.7
71,6.913,9.7
72,6.913,9.7
73,7.87,9.7
74,8.409,9.7
75,7.739,9.7
76,7.217,9.7
77,7.217,9.7
78,8.136,9.7
79,7.87,9.7
80,7.391,9.7
81,6.826,9.7
82,7.304,9.7
83,8.087,9.7
84,8.261,9.7
85,7.783,9.7
86,7.087,9.7
87,7.261,9.7
88,8.087,9.7
89,7.696,9.7
90,6.826,9.7
91,6.739,9.7
92,7.522,9.7
93,8.818,9.7
94,8.087,9.7
95,7.522,9.7
96,6.913,9.7
97,7.478,9.7
98,8.318,9.7
99,7.609,9.7
100,7.304,9.7
101,7.174,9.7
102,7.957,9.7
103,8.174,9.7
104,7.739,9.7
105,6.87,9.7
106,7.182,9.7
107,7.864,9.7
108,7.957,9.7
109,7.739,9.7
110,7.318,9.7
111,7.636,9.7
112,8.455,9.7
113,8.13,9.7
114,7.652,9.7
115,7.217,9.7
116,7.818,9.7
117,8.13,9.7
118,7.783,9.7
119,7.0,9.7
120,7.136,9.7
121,7.636,9.7
122,8.217,9.7
123,8.273,9.7
124,7.565,9.7
125,7.0,9.7
126,7.478,9.7
127,8.087,9.7
128,7.478,9.7
129,6.957,9.7
130,7.0,9.7
131,7.913,9.7
132,8.304,9.7
133,8.545,9.7
134,7.087,9.7
135,6.826,9.7
136,7.609,9.7
137,7.739,9.7
138,7.261,9.7
139,6.783,9.7
140,7.13,9.7
141,7.957,9.7
142,8.545,9.7
143,7.696,9.7
144,7.364,9.7
145,6.792,9.7
146,8.0,9.7
